web-scraper-order,web-scraper-start-url,words
"1574912029-140381","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Nic Base"
"1574912029-140387","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Organic Cotton"
"1574912029-140440","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","You"
"1574912029-140435","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Wick"
"1574912029-140318","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Ceramic coils"
"1574912029-140393","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Priming"
"1574912029-140426","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Vape Porn"
"1574912029-140342","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","ECF"
"1574912029-140364","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Hybrid"
"1574912029-140345","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","eGo"
"1574912029-140385","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","O"
"1574912029-140392","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","PCC"
"1574912029-140325","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Custom Mod"
"1574912029-140361","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Herbert Gilbert"
"1574912029-140397","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","R"
"1574912029-140335","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Dry Burn"
"1574912029-140384","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Norman L Jacobson"
"1574912029-140417","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Tobacco Products Directive (TPD)"
"1574912029-140337","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Dry Smoking"
"1574912029-140329","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","DNA Chipset"
